Weight%,microS/cm
40.05328259,50310.55901
35.9885823,56347.82609
30.00570885,59701.86335
26.03235014,59254.65839
20.04947669,55006.21118
15.02568982,48074.53416
9.95623216,38459.62733
4.93244529,22583.85093
0,0
