Weight%,microS/cm
14.75225225,413006.135
9.797297297,357791.411
4.842342342,221963.1902
2.252252252,120368.0982
0.563063063,32024.53988
19.70720721,380981.5951
24.66216216,315828.2209
29.61711712,248466.2577
34.90990991,188834.3558
39.86486486,139141.1043
44.81981982,110429.4479
49.88738739,87239.2638
0,0
